No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,Time 2,Time 1,,Delay ,,,Delay 2,Delay 1,,Jitter
74,3.297715,192.168.1.6,52.74.223.119,TCP,54,52353  >  443 [ACK] Seq=2656 Ack=26124 Win=132096 Len=0,,,,,,,,,,,,,,,,,,,
75,3.30382,192.168.1.6,140.82.112.26,TLSv1.2,84,Application Data,,,,,,,,,,,,,,,,,,,
76,3.304205,192.168.1.6,140.82.112.26,TCP,54,"52246  >  443 [FIN, ACK] Seq=219 Ack=1 Win=511 Len=0",,,,,,,,,,,,,,,,,,,
77,3.337378,fe80::3dfb:9bbe:e62a:b882,fe80::1,DNS,110,Standard query 0x7364 A avatars3.githubusercontent.com,,,,,,,,,,,,,,,,,,,
78,3.337761,fe80::3dfb:9bbe:e62a:b882,fe80::1,DNS,110,Standard query 0xa0a4 A avatars0.githubusercontent.com,,,,,,,,,,,,,,,,,,,
79,3.3722,192.168.1.6,192.168.1.1,DNS,90,Standard query 0xa0a4 A avatars0.githubusercontent.com,,,,,,,,,,,,,,,,,,,
80,3.372403,192.168.1.6,192.168.1.1,DNS,90,Standard query 0x7364 A avatars3.githubusercontent.com,,,,,,,,,,,,,,,,,,,
81,3.372614,fe80::1,fe80::3dfb:9bbe:e62a:b882,DNS,161,Standard query response 0x7364 A avatars3.githubusercontent.com CNAME github.map.fastly.net A 151.101.8.133,,,,,,,,,,,,,,,,,,,
82,3.374751,192.168.1.1,192.168.1.6,DNS,106,Standard query response 0x7364 A avatars3.githubusercontent.com A 151.101.8.133,,,,,,,,,,,,,,,,,,,
83,3.375524,192.168.1.6,151.101.8.133,TCP,66,52354  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,,,,,,,,,
84,3.398366,151.101.8.133,192.168.1.6,TCP,66,"443  >  52354 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM=1 WS=512",,,,,,,,,,,,,,,,,,,
85,3.39857,192.168.1.6,151.101.8.133,TCP,54,52354  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0,,,,,,,,,,,,,,,,,,,
86,3.399349,192.168.1.6,151.101.8.133,TLSv1.2,585,Client Hello,,,,,,,,,,,,,,,,,,,
87,3.413549,192.168.1.6,140.82.114.25,TCP,55,52319  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
88,3.422675,151.101.8.133,192.168.1.6,TCP,54,443  >  52354 [ACK] Seq=1 Ack=532 Win=30720 Len=0,,,,,,,,,,,,,,,,,,,
89,3.423544,151.101.8.133,192.168.1.6,TLSv1.2,210,"Server Hello, Change Cipher Spec, Encrypted Handshake Message",,,,,,,,,,,,,,,,,,,
90,3.426279,192.168.1.6,151.101.8.133,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message",,,,,,,,,,,,,,,,,,,
91,3.42687,192.168.1.6,151.101.8.133,TLSv1.2,676,Application Data,,,,,,,,,,,,,,,,,,,
92,3.436094,fe80::3dfb:9bbe:e62a:b882,fe80::1,DNS,110,Standard query 0x4326 A avatars1.githubusercontent.com,,,,,,,,,,,,,,,,,,,
93,3.437764,fe80::3dfb:9bbe:e62a:b882,fe80::1,DNS,110,Standard query 0x5af9 A avatars2.githubusercontent.com,,,,,,,,,,,,,,,,,,,
94,3.438723,192.168.1.6,172.217.194.95,UDP,1392,60138  >  443 Len=1350,,,,,,,,,,,,,,,,,,,
95,3.439442,192.168.1.6,172.217.194.95,UDP,559,60138  >  443 Len=517,,,,,,,,,,,,,,,,,,,
96,3.450199,151.101.8.133,192.168.1.6,TCP,56,443  >  52354 [ACK] Seq=157 Ack=1205 Win=31744 Len=0,,,,,,,,,,,,,,,,,,,
97,3.454364,151.101.8.133,192.168.1.6,TLSv1.2,562,Application Data,,,,,,,,,,,,,,,,,,,
98,3.460603,172.217.194.95,192.168.1.6,UDP,1392,443  >  60138 Len=1350,,,,,,,,,,,,,,,,,,,
99,3.461107,fe80::1,fe80::3dfb:9bbe:e62a:b882,DNS,161,Standard query response 0xa0a4 A avatars0.githubusercontent.com CNAME github.map.fastly.net A 151.101.8.133,,,,,,,,,,,,,,,,,,,
100,3.461626,192.168.1.6,172.217.194.95,UDP,75,60138  >  443 Len=33,,,,,,,,,,,,,,,,,,,
101,3.462329,192.168.1.6,151.101.8.133,TCP,66,52355  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,,,,,,,,,
102,3.465252,fe80::3dfb:9bbe:e62a:b882,fe80::1,DNS,109,Standard query 0xdb08 A github-cloud.s3.amazonaws.com,,,,,,,,,,,,,,,,,,,
103,3.466833,192.168.1.6,192.168.1.1,DNS,90,Standard query 0x4326 A avatars1.githubusercontent.com,,,,,,,,,,,,,,,,,,,
104,3.468001,fe80::1,fe80::3dfb:9bbe:e62a:b882,DNS,161,Standard query response 0x4326 A avatars1.githubusercontent.com CNAME github.map.fastly.net A 151.101.8.133,,,,,,,,,,,,,,,,,,,
105,3.46824,192.168.1.1,192.168.1.6,DNS,106,Standard query response 0x4326 A avatars1.githubusercontent.com A 151.101.8.133,,,,,,,,,,,,,,,,,,,
106,3.470899,192.168.1.6,192.168.1.1,DNS,90,Standard query 0x5af9 A avatars2.githubusercontent.com,,,,,,,,,,,,,,,,,,,
107,3.472637,fe80::3dfb:9bbe:e62a:b882,fe80::1,DNS,113,Standard query 0xd7bf A user-images.githubusercontent.com,,,,,,,,,,,,,,,,,,,
